group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,990000.0,ns,39
simple_iter,specs,,,,2076900.0,ns,78
simple_iter,specs,,,,2961500.0,ns,117
simple_iter,specs,,,,3934500.0,ns,156
simple_iter,specs,,,,4969300.0,ns,195
simple_iter,specs,,,,5886400.0,ns,234
simple_iter,specs,,,,6875200.0,ns,273
simple_iter,specs,,,,8043000.0,ns,312
simple_iter,specs,,,,9336700.0,ns,351
simple_iter,specs,,,,10764100.0,ns,390
simple_iter,specs,,,,10945600.0,ns,429
simple_iter,specs,,,,11863800.0,ns,468
simple_iter,specs,,,,12914200.0,ns,507
simple_iter,specs,,,,14437200.0,ns,546
simple_iter,specs,,,,14908000.0,ns,585
simple_iter,specs,,,,15894900.0,ns,624
simple_iter,specs,,,,17394300.0,ns,663
simple_iter,specs,,,,18045800.0,ns,702
simple_iter,specs,,,,18882500.0,ns,741
simple_iter,specs,,,,20248900.0,ns,780
simple_iter,specs,,,,20917000.0,ns,819
simple_iter,specs,,,,21800200.0,ns,858
simple_iter,specs,,,,23308700.0,ns,897
simple_iter,specs,,,,23677400.0,ns,936
simple_iter,specs,,,,25333500.0,ns,975
simple_iter,specs,,,,25625100.0,ns,1014
simple_iter,specs,,,,27359300.0,ns,1053
simple_iter,specs,,,,27567200.0,ns,1092
simple_iter,specs,,,,29411200.0,ns,1131
simple_iter,specs,,,,29876000.0,ns,1170
simple_iter,specs,,,,31395400.0,ns,1209
simple_iter,specs,,,,31876900.0,ns,1248
simple_iter,specs,,,,33110600.0,ns,1287
simple_iter,specs,,,,34328800.0,ns,1326
simple_iter,specs,,,,34666400.0,ns,1365
simple_iter,specs,,,,36132500.0,ns,1404
simple_iter,specs,,,,37152400.0,ns,1443
simple_iter,specs,,,,37526100.0,ns,1482
simple_iter,specs,,,,39322300.0,ns,1521
simple_iter,specs,,,,40073800.0,ns,1560
simple_iter,specs,,,,41480400.0,ns,1599
simple_iter,specs,,,,41933800.0,ns,1638
simple_iter,specs,,,,43371700.0,ns,1677
simple_iter,specs,,,,44193400.0,ns,1716
simple_iter,specs,,,,45869600.0,ns,1755
simple_iter,specs,,,,45780700.0,ns,1794
simple_iter,specs,,,,48535500.0,ns,1833
simple_iter,specs,,,,48250100.0,ns,1872
simple_iter,specs,,,,49074600.0,ns,1911
simple_iter,specs,,,,49965100.0,ns,1950
simple_iter,specs,,,,50843600.0,ns,1989
simple_iter,specs,,,,51407900.0,ns,2028
simple_iter,specs,,,,53671400.0,ns,2067
simple_iter,specs,,,,53590800.0,ns,2106
simple_iter,specs,,,,54821600.0,ns,2145
simple_iter,specs,,,,56392100.0,ns,2184
simple_iter,specs,,,,56725100.0,ns,2223
simple_iter,specs,,,,57748400.0,ns,2262
simple_iter,specs,,,,59884500.0,ns,2301
simple_iter,specs,,,,59853900.0,ns,2340
simple_iter,specs,,,,60559500.0,ns,2379
simple_iter,specs,,,,62327200.0,ns,2418
simple_iter,specs,,,,63587800.0,ns,2457
simple_iter,specs,,,,64961000.0,ns,2496
simple_iter,specs,,,,64903300.0,ns,2535
simple_iter,specs,,,,65807100.0,ns,2574
simple_iter,specs,,,,67237500.0,ns,2613
simple_iter,specs,,,,68483300.0,ns,2652
simple_iter,specs,,,,68937900.0,ns,2691
simple_iter,specs,,,,69655400.0,ns,2730
simple_iter,specs,,,,70618500.0,ns,2769
simple_iter,specs,,,,72016800.0,ns,2808
simple_iter,specs,,,,72995700.0,ns,2847
simple_iter,specs,,,,73668400.0,ns,2886
simple_iter,specs,,,,74804600.0,ns,2925
simple_iter,specs,,,,79261700.0,ns,2964
simple_iter,specs,,,,76907500.0,ns,3003
simple_iter,specs,,,,79282200.0,ns,3042
simple_iter,specs,,,,79426200.0,ns,3081
simple_iter,specs,,,,79903100.0,ns,3120
simple_iter,specs,,,,82542300.0,ns,3159
simple_iter,specs,,,,81813100.0,ns,3198
simple_iter,specs,,,,82492400.0,ns,3237
simple_iter,specs,,,,85472900.0,ns,3276
simple_iter,specs,,,,84831500.0,ns,3315
simple_iter,specs,,,,86094300.0,ns,3354
simple_iter,specs,,,,86638100.0,ns,3393
simple_iter,specs,,,,88517200.0,ns,3432
simple_iter,specs,,,,88914600.0,ns,3471
simple_iter,specs,,,,90955900.0,ns,3510
simple_iter,specs,,,,91332300.0,ns,3549
simple_iter,specs,,,,91868000.0,ns,3588
simple_iter,specs,,,,93950800.0,ns,3627
simple_iter,specs,,,,93649000.0,ns,3666
simple_iter,specs,,,,95410800.0,ns,3705
simple_iter,specs,,,,96670600.0,ns,3744
simple_iter,specs,,,,96770300.0,ns,3783
simple_iter,specs,,,,98200400.0,ns,3822
simple_iter,specs,,,,99480800.0,ns,3861
simple_iter,specs,,,,99419600.0,ns,3900
