group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,1003500.0,ns,39
simple_iter,specs,,,,2185500.0,ns,78
simple_iter,specs,,,,3022900.0,ns,117
simple_iter,specs,,,,4304400.0,ns,156
simple_iter,specs,,,,4984900.0,ns,195
simple_iter,specs,,,,6059100.0,ns,234
simple_iter,specs,,,,6882000.0,ns,273
simple_iter,specs,,,,8422200.0,ns,312
simple_iter,specs,,,,8999000.0,ns,351
simple_iter,specs,,,,10105700.0,ns,390
simple_iter,specs,,,,11437000.0,ns,429
simple_iter,specs,,,,11939700.0,ns,468
simple_iter,specs,,,,13148500.0,ns,507
simple_iter,specs,,,,14013500.0,ns,546
simple_iter,specs,,,,14911700.0,ns,585
simple_iter,specs,,,,15650300.0,ns,624
simple_iter,specs,,,,16911900.0,ns,663
simple_iter,specs,,,,17950000.0,ns,702
simple_iter,specs,,,,19006200.0,ns,741
simple_iter,specs,,,,19644200.0,ns,780
simple_iter,specs,,,,20867700.0,ns,819
simple_iter,specs,,,,21488900.0,ns,858
simple_iter,specs,,,,22645200.0,ns,897
simple_iter,specs,,,,23853200.0,ns,936
simple_iter,specs,,,,24806100.0,ns,975
simple_iter,specs,,,,25799300.0,ns,1014
simple_iter,specs,,,,26671900.0,ns,1053
simple_iter,specs,,,,27811800.0,ns,1092
simple_iter,specs,,,,29359700.0,ns,1131
simple_iter,specs,,,,30279600.0,ns,1170
simple_iter,specs,,,,31342600.0,ns,1209
simple_iter,specs,,,,32456900.0,ns,1248
simple_iter,specs,,,,32899700.0,ns,1287
simple_iter,specs,,,,33800900.0,ns,1326
simple_iter,specs,,,,35392600.0,ns,1365
simple_iter,specs,,,,37007000.0,ns,1404
simple_iter,specs,,,,37399300.0,ns,1443
simple_iter,specs,,,,38239800.0,ns,1482
simple_iter,specs,,,,39161700.0,ns,1521
simple_iter,specs,,,,39332100.0,ns,1560
simple_iter,specs,,,,42083500.0,ns,1599
simple_iter,specs,,,,41463200.0,ns,1638
simple_iter,specs,,,,42429900.0,ns,1677
simple_iter,specs,,,,44553000.0,ns,1716
simple_iter,specs,,,,45076400.0,ns,1755
simple_iter,specs,,,,45433500.0,ns,1794
simple_iter,specs,,,,47594600.0,ns,1833
simple_iter,specs,,,,48869400.0,ns,1872
simple_iter,specs,,,,49206500.0,ns,1911
simple_iter,specs,,,,49148300.0,ns,1950
simple_iter,specs,,,,62213900.0,ns,1989
simple_iter,specs,,,,54191100.0,ns,2028
simple_iter,specs,,,,53693800.0,ns,2067
simple_iter,specs,,,,53779100.0,ns,2106
simple_iter,specs,,,,54456100.0,ns,2145
simple_iter,specs,,,,56015700.0,ns,2184
simple_iter,specs,,,,56198300.0,ns,2223
simple_iter,specs,,,,57223100.0,ns,2262
simple_iter,specs,,,,58162000.0,ns,2301
simple_iter,specs,,,,59602300.0,ns,2340
simple_iter,specs,,,,60621500.0,ns,2379
simple_iter,specs,,,,61610100.0,ns,2418
simple_iter,specs,,,,62556200.0,ns,2457
simple_iter,specs,,,,63343400.0,ns,2496
simple_iter,specs,,,,64467600.0,ns,2535
simple_iter,specs,,,,66308000.0,ns,2574
simple_iter,specs,,,,67016600.0,ns,2613
simple_iter,specs,,,,69019300.0,ns,2652
simple_iter,specs,,,,69654600.0,ns,2691
simple_iter,specs,,,,70224100.0,ns,2730
simple_iter,specs,,,,70737700.0,ns,2769
simple_iter,specs,,,,71313800.0,ns,2808
simple_iter,specs,,,,71772600.0,ns,2847
simple_iter,specs,,,,72959400.0,ns,2886
simple_iter,specs,,,,73977600.0,ns,2925
simple_iter,specs,,,,75074000.0,ns,2964
simple_iter,specs,,,,76111400.0,ns,3003
simple_iter,specs,,,,76740400.0,ns,3042
simple_iter,specs,,,,77770600.0,ns,3081
simple_iter,specs,,,,78641900.0,ns,3120
simple_iter,specs,,,,81816000.0,ns,3159
simple_iter,specs,,,,80556000.0,ns,3198
simple_iter,specs,,,,82565000.0,ns,3237
simple_iter,specs,,,,83807900.0,ns,3276
simple_iter,specs,,,,85556500.0,ns,3315
simple_iter,specs,,,,86407800.0,ns,3354
simple_iter,specs,,,,87458400.0,ns,3393
simple_iter,specs,,,,87457000.0,ns,3432
simple_iter,specs,,,,88246400.0,ns,3471
simple_iter,specs,,,,91199700.0,ns,3510
simple_iter,specs,,,,91620500.0,ns,3549
simple_iter,specs,,,,91918100.0,ns,3588
simple_iter,specs,,,,92288000.0,ns,3627
simple_iter,specs,,,,94239200.0,ns,3666
simple_iter,specs,,,,94387100.0,ns,3705
simple_iter,specs,,,,95584900.0,ns,3744
simple_iter,specs,,,,98752900.0,ns,3783
simple_iter,specs,,,,99779300.0,ns,3822
simple_iter,specs,,,,111745300.0,ns,3861
simple_iter,specs,,,,111080200.0,ns,3900
